,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Hobyo,SO,5.3505,48.5268,77.47,87,19,19.95,few clouds
153,Vao,NC,-22.6667,167.4833,74.43,76,7,12.48,clear sky
154,Mount Isa,AU,-20.7333,139.5,62.37,100,100,5.75,light rain
155,Tiznit,MA,29.5833,-9.5,66.45,67,44,3.69,scattered clouds
156,Glyadyanskoye,RU,54.9075,65.0883,27.55,88,74,6.31,broken clouds
157,Mezhdurechensk,RU,53.6942,88.0603,43.38,95,100,3.22,overcast clouds
158,Asau,RO,46.4333,26.4,56.32,73,99,3.47,overcast clouds
159,Loubomo,CG,-4.1997,12.6739,71.94,83,97,4.79,overcast clouds
160,Nova Odesa,UA,47.3078,31.7851,60.69,93,95,5.88,overcast clouds
161,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,75,11.5,broken clouds
162,Lompoc,US,34.6391,-120.4579,87.01,77,20,13.8,mist
163,San Quintin,MX,30.4833,-115.95,77.38,69,1,12.8,clear sky
164,Agadez,NE,19.75,10.25,88.38,16,3,9.4,clear sky
165,Balykshi,KZ,47.0667,51.8667,62.6,45,0,11.18,clear sky
166,Ghanzi,BW,-21.5667,21.7833,74.46,20,5,8.7,clear sky
167,Matiri,TZ,-10.75,34.9,65.84,62,85,6.96,overcast clouds
168,Grand Gaube,MU,-20.0064,57.6608,72.0,62,47,7.0,scattered clouds
169,Senigallia,IT,43.7093,13.2167,66.29,68,89,5.75,overcast clouds
170,Samarai,PG,-10.6167,150.6667,82.44,79,95,10.16,overcast clouds
171,Conakry,GN,9.538,-13.6773,80.02,77,99,5.01,overcast clouds
172,Alofi,NU,-19.0595,-169.9187,71.49,94,100,6.91,moderate rain
173,Camana,PE,-16.6228,-72.7111,63.09,75,44,10.36,scattered clouds
174,Margate,GB,51.3813,1.3862,51.69,77,65,5.99,broken clouds
175,Loukhi,RU,66.0764,33.0381,42.93,90,100,4.59,overcast clouds
176,Saldanha,ZA,-33.0117,17.9442,48.25,89,0,7.78,clear sky
177,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,78,20,13.24,few clouds
178,Zhigansk,RU,66.7697,123.3711,30.06,89,100,7.25,overcast clouds
179,Ozernovskiy,RU,51.5,156.5167,49.46,76,90,20.18,light rain
180,Lipari,IT,38.4674,14.954,73.2,66,3,20.69,clear sky
181,Vondrozo,MG,-22.8167,47.2833,58.24,98,29,0.74,scattered clouds
182,Nioro,GM,13.35,-15.75,76.35,88,91,3.76,light rain
183,Awbari,LY,26.5921,12.7805,87.87,20,1,8.93,clear sky
184,Port Blair,IN,11.6667,92.75,80.31,80,97,10.22,overcast clouds
185,Dikson,RU,73.5069,80.5464,32.36,67,100,6.38,overcast clouds
186,Westport,US,41.1415,-73.3579,71.08,59,20,10.0,few clouds
187,Barrow,US,71.2906,-156.7887,30.22,80,100,11.5,overcast clouds
188,Nueve De Julio,AR,-35.4444,-60.8831,71.96,30,6,4.0,clear sky
189,Omboue,GA,-1.5746,9.2618,75.13,89,100,5.14,light rain
190,Kloulklubed,PW,7.0419,134.2556,80.06,82,100,9.19,overcast clouds
191,Yumen,CN,40.2833,97.2,60.01,27,0,4.97,clear sky
192,Kahului,US,20.8947,-156.47,87.82,61,20,20.71,few clouds
193,Mount Kisco,US,41.2043,-73.7271,67.82,63,20,6.91,few clouds
194,Pasinler,TR,39.9803,41.6764,54.86,24,23,2.24,few clouds
195,Algiers,DZ,36.7525,3.042,66.02,73,20,4.61,few clouds
196,Quatre Cocos,MU,-20.2078,57.7625,71.71,65,73,12.39,broken clouds
197,Ribeira Grande,PT,38.5167,-28.7,70.7,67,69,14.7,broken clouds
198,Nikolskoye,RU,59.7035,30.7861,46.29,97,10,4.29,clear sky
199,Muli,MV,2.9167,73.5667,81.09,77,87,15.12,overcast clouds
200,Berlevag,NO,70.8578,29.0864,48.15,81,100,10.36,overcast clouds
201,Kaitangata,NZ,-46.2817,169.8464,56.82,68,50,6.2,scattered clouds
202,Manzanillo,CU,20.3433,-77.1167,86.92,63,90,4.7,overcast clouds
203,Sorland,NO,67.667,12.6934,51.66,78,60,10.8,broken clouds
204,Pemangkat,ID,1.1667,108.9667,77.86,85,100,4.38,overcast clouds
205,Awjilah,LY,29.1081,21.2869,86.38,27,0,9.24,clear sky
206,Turukhansk,RU,65.8167,87.9833,25.39,76,99,7.34,overcast clouds
207,Talnakh,RU,69.4865,88.3972,19.0,82,47,4.23,scattered clouds
208,Pemba,MZ,-12.974,40.5178,74.1,83,20,4.61,few clouds
209,Puerto Ayacucho,VE,5.6639,-67.6236,75.07,94,98,12.62,overcast clouds
210,Dongsheng,CN,39.8161,109.9776,56.93,49,15,6.85,few clouds
211,Ahlat,TR,38.7518,42.4814,58.66,34,0,1.41,clear sky
212,Pochutla,MX,15.7432,-96.4661,79.03,85,94,3.09,overcast clouds
213,Meulaboh,ID,4.1363,96.1285,73.02,96,100,3.67,overcast clouds
214,Saint-Junien,FR,45.8833,0.9,57.85,98,100,9.93,moderate rain
215,Airai,TL,-8.9266,125.4092,61.72,89,100,1.05,overcast clouds
216,Chingola,ZM,-12.529,27.8838,67.71,37,45,4.65,scattered clouds
217,Rabaul,PG,-4.1967,152.1721,79.86,78,95,1.05,overcast clouds
218,Batu Gajah,MY,4.4692,101.0411,77.11,88,20,4.61,few clouds
219,Rantauprapat,ID,2.1,99.8333,72.03,93,100,1.99,overcast clouds
220,Oudtshoorn,ZA,-33.5907,22.2014,57.56,83,85,2.44,overcast clouds
221,Capaccio,IT,40.4244,15.0809,61.05,84,36,8.97,scattered clouds
222,Vestmanna,FO,62.1564,-7.1664,43.72,93,100,19.57,light intensity drizzle
223,Tubuala,PA,9.5167,-79.0333,80.33,85,99,6.82,overcast clouds
224,Scottsbluff,US,41.8666,-103.6672,79.92,28,0,8.05,clear sky
225,Jyvaskyla,FI,62.2415,25.7209,38.12,97,100,2.3,fog
226,Jalu,LY,29.0331,21.5482,85.86,28,0,7.99,clear sky
227,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,0.0,broken clouds
228,Dawlatabad,AF,36.4141,64.9053,64.38,25,0,2.48,clear sky
229,Yatou,CN,37.15,122.3833,62.89,84,100,2.24,overcast clouds
230,Polyarnyy,RU,69.1989,33.4478,44.82,80,99,9.42,overcast clouds
231,Puerto Ayora,EC,-0.7393,-90.3518,75.16,86,81,5.01,broken clouds
232,Saint-Joseph,RE,-21.3667,55.6167,64.78,72,21,10.29,few clouds
233,Tahoua,NE,14.8888,5.2692,85.98,54,0,0.0,clear sky
234,Leningradskiy,RU,69.3833,178.4167,28.06,89,100,2.46,overcast clouds
235,Zacatepec,MX,18.65,-99.2,83.17,57,47,1.39,scattered clouds
